,density,env,Run,BurnedOut,height,width
217,0.03,0.018000000000000002,217,0.003663003663003663,100,100
218,0.03,0.019,218,0.008670520231213872,100,100
219,0.03,0.02,219,0.0031847133757961785,100,100
220,0.03,0.021,220,0.0036900369003690036,100,100
221,0.03,0.022,221,0.01079136690647482,100,100
222,0.03,0.023,222,0.006825938566552901,100,100
223,0.03,0.024,223,0.014598540145985401,100,100
224,0.03,0.025,224,0.006557377049180328,100,100
225,0.03,0.026000000000000002,225,0.009836065573770493,100,100
226,0.03,0.027,226,0.009316770186335404,100,100
227,0.03,0.028,227,0.00684931506849315,100,100
228,0.03,0.029,228,0.01384083044982699,100,100
229,0.03,0.03,229,0.006172839506172839,100,100
230,0.03,0.031,230,0.003389830508474576,100,100
231,0.03,0.032,231,0.006097560975609756,100,100
232,0.03,0.033,232,0.009868421052631578,100,100
233,0.03,0.034,233,0.0,100,100
234,0.03,0.035,234,0.006644518272425249,100,100
235,0.03,0.036000000000000004,235,0.01948051948051948,100,100
236,0.03,0.037,236,0.009202453987730062,100,100
237,0.03,0.038,237,0.00974025974025974,100,100
238,0.03,0.039,238,0.013422818791946308,100,100
239,0.03,0.04,239,0.003367003367003367,100,100
240,0.03,0.041,240,0.021739130434782608,100,100
241,0.03,0.042,241,0.003663003663003663,100,100
242,0.03,0.043000000000000003,242,0.028125,100,100
243,0.03,0.044,243,0.021212121212121213,100,100
244,0.03,0.045,244,0.006734006734006734,100,100
245,0.03,0.046,245,0.014388489208633094,100,100
246,0.03,0.047,246,0.014084507042253521,100,100
247,0.03,0.048,247,0.03353658536585366,100,100
248,0.03,0.049,248,0.016233766233766232,100,100
249,0.03,0.05,249,0.018808777429467086,100,100
250,0.03,0.051000000000000004,250,0.01020408163265306,100,100
251,0.03,0.052000000000000005,251,0.013157894736842105,100,100
252,0.03,0.053,252,0.009259259259259259,100,100
253,0.03,0.054,253,0.012861736334405145,100,100
254,0.03,0.055,254,0.021341463414634148,100,100
255,0.03,0.056,255,0.012307692307692308,100,100
256,0.03,0.057,256,0.006734006734006734,100,100
257,0.03,0.058,257,0.019417475728155338,100,100
258,0.03,0.059000000000000004,258,0.013513513513513514,100,100
259,0.03,0.06,259,0.017605633802816902,100,100
260,0.03,0.061,260,0.017006802721088437,100,100
261,0.03,0.062,261,0.011627906976744186,100,100
262,0.03,0.063,262,0.024054982817869417,100,100
263,0.03,0.064,263,0.021212121212121213,100,100
264,0.03,0.065,264,0.017482517482517484,100,100
265,0.03,0.066,265,0.025925925925925925,100,100
266,0.03,0.067,266,0.009523809523809525,100,100
267,0.03,0.068,267,0.013289036544850499,100,100
268,0.03,0.069,268,0.010526315789473684,100,100
269,0.03,0.07,269,0.031055900621118012,100,100
270,0.03,0.07100000000000001,270,0.012861736334405145,100,100
271,0.03,0.07200000000000001,271,0.012121212121212121,100,100
272,0.03,0.073,272,0.02108433734939759,100,100
273,0.03,0.074,273,0.012658227848101266,100,100
274,0.03,0.075,274,0.030927835051546393,100,100
275,0.03,0.076,275,0.01845018450184502,100,100
276,0.03,0.077,276,0.017241379310344827,100,100
277,0.03,0.078,277,0.01773049645390071,100,100
278,0.03,0.079,278,0.028037383177570093,100,100
279,0.03,0.08,279,0.03424657534246575,100,100
280,0.03,0.081,280,0.022151898734177215,100,100
281,0.03,0.082,281,0.012944983818770227,100,100
282,0.03,0.083,282,0.00684931506849315,100,100
283,0.03,0.084,283,0.013114754098360656,100,100
284,0.03,0.085,284,0.04797047970479705,100,100
285,0.03,0.08600000000000001,285,0.012987012987012988,100,100
286,0.03,0.08700000000000001,286,0.02912621359223301,100,100
287,0.03,0.088,287,0.01892744479495268,100,100
288,0.03,0.089,288,0.022508038585209004,100,100
289,0.03,0.09,289,0.04262295081967213,100,100
290,0.03,0.091,290,0.04929577464788732,100,100
291,0.03,0.092,291,0.02877697841726619,100,100
292,0.03,0.093,292,0.03873239436619718,100,100
293,0.03,0.094,293,0.05263157894736842,100,100
294,0.03,0.095,294,0.016891891891891893,100,100
